Ngày,#,Loại (nghìn đồng/ lượng),Mua,Bán
10/11/2024,,,
10/11/2024,1,Hồ Chí Minh,82000,85800
10/11/2024,2,Miền Bắc,82000,85800
10/11/2024,3,Hạ Long,82000,85800
10/11/2024,4,Hải Phòng,82000,85800
10/11/2024,5,Miền Trung,82000,85800
10/11/2024,6,Huế,82000,85800
10/11/2024,7,Quảng Ngãi,82000,85800
10/11/2024,8,Nha Trang,82000,85800
10/11/2024,9,Biên Hòa,82000,85800
10/11/2024,10,Miền Tây,82000,85800
10/11/2024,11,Bạc Liêu,82000,85800
10/11/2024,12,Cà Mau,82000,85800
11/11/2024,,,
11/11/2024,1,Hồ Chí Minh,81900,85400
11/11/2024,2,Miền Bắc,81900,85400
11/11/2024,3,Hạ Long,81900,85400
11/11/2024,4,Hải Phòng,81900,85400
11/11/2024,5,Miền Trung,81900,85400
11/11/2024,6,Huế,81900,85400
11/11/2024,7,Quảng Ngãi,81900,85400
11/11/2024,8,Nha Trang,81900,85400
11/11/2024,9,Biên Hòa,81900,85400
11/11/2024,10,Miền Tây,81900,85400
11/11/2024,11,Bạc Liêu,81900,85400
11/11/2024,12,Cà Mau,81900,85400
12/11/2024,,,
12/11/2024,1,Hồ Chí Minh,80500,84000
12/11/2024,2,Miền Bắc,80500,84000
12/11/2024,3,Hạ Long,80500,84000
12/11/2024,4,Hải Phòng,80500,84000
12/11/2024,5,Miền Trung,80500,84000
12/11/2024,6,Huế,80500,84000
12/11/2024,7,Quảng Ngãi,80500,84000
12/11/2024,8,Nha Trang,80500,84000
12/11/2024,9,Biên Hòa,80500,84000
12/11/2024,10,Miền Tây,80500,84000
12/11/2024,11,Bạc Liêu,80500,84000
12/11/2024,12,Cà Mau,80500,84000
13/11/2024,,,
13/11/2024,1,Hồ Chí Minh,80500,84000
13/11/2024,2,Miền Bắc,80500,84000
13/11/2024,3,Hạ Long,80500,84000
13/11/2024,4,Hải Phòng,80500,84000
13/11/2024,5,Miền Trung,80500,84000
13/11/2024,6,Huế,80500,84000
13/11/2024,7,Quảng Ngãi,80500,84000
13/11/2024,8,Nha Trang,80500,84000
13/11/2024,9,Biên Hòa,80500,84000
13/11/2024,10,Miền Tây,80500,84000
13/11/2024,11,Bạc Liêu,80500,84000
13/11/2024,12,Cà Mau,80500,84000
14/11/2024,,,
14/11/2024,1,Hồ Chí Minh,80000,83500
14/11/2024,2,Miền Bắc,80000,83500
14/11/2024,3,Hạ Long,80000,83500
14/11/2024,4,Hải Phòng,80000,83500
14/11/2024,5,Miền Trung,80000,83500
14/11/2024,6,Huế,80000,83500
14/11/2024,7,Quảng Ngãi,80000,83500
14/11/2024,8,Nha Trang,80000,83500
14/11/2024,9,Biên Hòa,80000,83500
14/11/2024,10,Miền Tây,80000,83500
14/11/2024,11,Bạc Liêu,80000,83500
14/11/2024,12,Cà Mau,80000,83500
15/11/2024,,,
15/11/2024,1,Hồ Chí Minh,80000,83500
15/11/2024,2,Miền Bắc,80000,83500
15/11/2024,3,Hạ Long,80000,83500
15/11/2024,4,Hải Phòng,80000,83500
15/11/2024,5,Miền Trung,80000,83500
15/11/2024,6,Huế,80000,83500
15/11/2024,7,Quảng Ngãi,80000,83500
15/11/2024,8,Nha Trang,80000,83500
15/11/2024,9,Biên Hòa,80000,83500
15/11/2024,10,Miền Tây,80000,83500
15/11/2024,11,Bạc Liêu,80000,83500
15/11/2024,12,Cà Mau,80000,83500
16/11/2024,,,
16/11/2024,1,Hồ Chí Minh,80000,83500
16/11/2024,2,Miền Bắc,80000,83500
16/11/2024,3,Hạ Long,80000,83500
16/11/2024,4,Hải Phòng,80000,83500
16/11/2024,5,Miền Trung,80000,83500
16/11/2024,6,Huế,80000,83500
16/11/2024,7,Quảng Ngãi,80000,83500
16/11/2024,8,Nha Trang,80000,83500
16/11/2024,9,Biên Hòa,80000,83500
16/11/2024,10,Miền Tây,80000,83500
16/11/2024,11,Bạc Liêu,80000,83500
16/11/2024,12,Cà Mau,80000,83500
17/11/2024,,,
17/11/2024,1,Hồ Chí Minh,80000,83500
17/11/2024,2,Miền Bắc,80000,83500
17/11/2024,3,Hạ Long,80000,83500
17/11/2024,4,Hải Phòng,80000,83500
17/11/2024,5,Miền Trung,80000,83500
17/11/2024,6,Huế,80000,83500
17/11/2024,7,Quảng Ngãi,80000,83500
17/11/2024,8,Nha Trang,80000,83500
17/11/2024,9,Biên Hòa,80000,83500
17/11/2024,10,Miền Tây,80000,83500
17/11/2024,11,Bạc Liêu,80000,83500
17/11/2024,12,Cà Mau,80000,83500
18/11/2024,,,
18/11/2024,1,Hồ Chí Minh,81000,84000
18/11/2024,2,Miền Bắc,81000,84000
18/11/2024,3,Hạ Long,81000,84000
18/11/2024,4,Hải Phòng,81000,84000
18/11/2024,5,Miền Trung,81000,84000
18/11/2024,6,Huế,81000,84000
18/11/2024,7,Quảng Ngãi,81000,84000
18/11/2024,8,Nha Trang,81000,84000
18/11/2024,9,Biên Hòa,81000,84000
18/11/2024,10,Miền Tây,81000,84000
18/11/2024,11,Bạc Liêu,81000,84000
18/11/2024,12,Cà Mau,81000,84000
19/11/2024,,,
19/11/2024,1,Hồ Chí Minh,82000,85000
19/11/2024,2,Miền Bắc,82000,85000
19/11/2024,3,Hạ Long,82000,85000
19/11/2024,4,Hải Phòng,82000,85000
19/11/2024,5,Miền Trung,82000,85000
19/11/2024,6,Huế,82000,85000
19/11/2024,7,Quảng Ngãi,82000,85000
19/11/2024,8,Nha Trang,82000,85000
19/11/2024,9,Biên Hòa,82000,85000
19/11/2024,10,Miền Tây,82000,85000
19/11/2024,11,Bạc Liêu,82000,85000
19/11/2024,12,Cà Mau,82000,85000
20/11/2024,,,
20/11/2024,1,Hồ Chí Minh,82700,85700
20/11/2024,2,Miền Bắc,82700,85700
20/11/2024,3,Hạ Long,82700,85700
20/11/2024,4,Hải Phòng,82700,85700
20/11/2024,5,Miền Trung,82700,85700
20/11/2024,6,Huế,82700,85700
20/11/2024,7,Quảng Ngãi,82700,85700
20/11/2024,8,Nha Trang,82700,85700
20/11/2024,9,Biên Hòa,82700,85700
20/11/2024,10,Miền Tây,82700,85700
20/11/2024,11,Bạc Liêu,82700,85700
20/11/2024,12,Cà Mau,82700,85700
21/11/2024,,,
21/11/2024,1,Hồ Chí Minh,83700,86200
21/11/2024,2,Miền Bắc,83700,86200
21/11/2024,3,Hạ Long,83700,86200
21/11/2024,4,Hải Phòng,83700,86200
21/11/2024,5,Miền Trung,83700,86200
21/11/2024,6,Huế,83700,86200
21/11/2024,7,Quảng Ngãi,83700,86200
21/11/2024,8,Nha Trang,83700,86200
21/11/2024,9,Biên Hòa,83700,86200
21/11/2024,10,Miền Tây,83700,86200
21/11/2024,11,Bạc Liêu,83700,86200
21/11/2024,12,Cà Mau,83700,86200
22/11/2024,,,
22/11/2024,1,Hồ Chí Minh,119500,121500
22/11/2024,2,Miền Bắc,119500,121500
22/11/2024,3,Hạ Long,119500,121500
22/11/2024,4,Hải Phòng,119500,121500
22/11/2024,5,Miền Trung,119500,121500
22/11/2024,6,Huế,119500,121500
22/11/2024,7,Quảng Ngãi,119500,121500
22/11/2024,8,Nha Trang,119500,121500
22/11/2024,9,Biên Hòa,119500,121500
22/11/2024,10,Miền Tây,119500,121500
22/11/2024,11,Bạc Liêu,119500,121500
22/11/2024,12,Cà Mau,119500,121500
23/11/2024,,,
23/11/2024,1,Hồ Chí Minh,85000,87000
23/11/2024,2,Miền Bắc,85000,87000
23/11/2024,3,Hạ Long,85000,87000
23/11/2024,4,Hải Phòng,85000,87000
23/11/2024,5,Miền Trung,85000,87000
23/11/2024,6,Huế,85000,87000
23/11/2024,7,Quảng Ngãi,85000,87000
23/11/2024,8,Nha Trang,85000,87000
23/11/2024,9,Biên Hòa,85000,87000
23/11/2024,10,Miền Tây,85000,87000
23/11/2024,11,Bạc Liêu,85000,87000
23/11/2024,12,Cà Mau,85000,87000
24/11/2024,,,
24/11/2024,1,Hồ Chí Minh,85000,87000
24/11/2024,2,Miền Bắc,85000,87000
24/11/2024,3,Hạ Long,85000,87000
24/11/2024,4,Hải Phòng,85000,87000
24/11/2024,5,Miền Trung,85000,87000
24/11/2024,6,Huế,85000,87000
24/11/2024,7,Quảng Ngãi,85000,87000
24/11/2024,8,Nha Trang,85000,87000
24/11/2024,9,Biên Hòa,85000,87000
24/11/2024,10,Miền Tây,85000,87000
24/11/2024,11,Bạc Liêu,85000,87000
24/11/2024,12,Cà Mau,85000,87000
25/11/2024,,,
25/11/2024,1,Hồ Chí Minh,84600,86600
25/11/2024,2,Miền Bắc,84600,86600
25/11/2024,3,Hạ Long,84600,86600
25/11/2024,4,Hải Phòng,84600,86600
25/11/2024,5,Miền Trung,84600,86600
25/11/2024,6,Huế,84600,86600
25/11/2024,7,Quảng Ngãi,84600,86600
25/11/2024,8,Nha Trang,84600,86600
25/11/2024,9,Biên Hòa,84600,86600
25/11/2024,10,Miền Tây,84600,86600
25/11/2024,11,Bạc Liêu,84600,86600
25/11/2024,12,Cà Mau,84600,86600
26/11/2024,,,
26/11/2024,1,Hồ Chí Minh,82700,85200
26/11/2024,2,Miền Bắc,82700,85200
26/11/2024,3,Hạ Long,82700,85200
26/11/2024,4,Hải Phòng,82700,85200
26/11/2024,5,Miền Trung,82700,85200
26/11/2024,6,Huế,82700,85200
26/11/2024,7,Quảng Ngãi,82700,85200
26/11/2024,8,Nha Trang,82700,85200
26/11/2024,9,Biên Hòa,82700,85200
26/11/2024,10,Miền Tây,82700,85200
26/11/2024,11,Bạc Liêu,82700,85200
26/11/2024,12,Cà Mau,82700,85200
27/11/2024,,,
27/11/2024,1,Hồ Chí Minh,83000,85500
27/11/2024,2,Miền Bắc,83000,85500
27/11/2024,3,Hạ Long,83000,85500
27/11/2024,4,Hải Phòng,83000,85500
27/11/2024,5,Miền Trung,83000,85500
27/11/2024,6,Huế,83000,85500
27/11/2024,7,Quảng Ngãi,83000,85500
27/11/2024,8,Nha Trang,83000,85500
27/11/2024,9,Biên Hòa,83000,85500
27/11/2024,10,Miền Tây,83000,85500
27/11/2024,11,Bạc Liêu,83000,85500
27/11/2024,12,Cà Mau,83000,85500
28/11/2024,,,
28/11/2024,1,Hồ Chí Minh,82900,85400
28/11/2024,2,Miền Bắc,82900,85400
28/11/2024,3,Hạ Long,82900,85400
28/11/2024,4,Hải Phòng,82900,85400
28/11/2024,5,Miền Trung,82900,85400
28/11/2024,6,Huế,82900,85400
28/11/2024,7,Quảng Ngãi,82900,85400
28/11/2024,8,Nha Trang,82900,85400
28/11/2024,9,Biên Hòa,82900,85400
28/11/2024,10,Miền Tây,82900,85400
28/11/2024,11,Bạc Liêu,82900,85400
28/11/2024,12,Cà Mau,82900,85400
29/11/2024,,,
29/11/2024,1,Hồ Chí Minh,83300,85800
29/11/2024,2,Miền Bắc,83300,85800
29/11/2024,3,Hạ Long,83300,85800
29/11/2024,4,Hải Phòng,83300,85800
29/11/2024,5,Miền Trung,83300,85800
29/11/2024,6,Huế,83300,85800
29/11/2024,7,Quảng Ngãi,83300,85800
29/11/2024,8,Nha Trang,83300,85800
29/11/2024,9,Biên Hòa,83300,85800
29/11/2024,10,Miền Tây,83300,85800
29/11/2024,11,Bạc Liêu,83300,85800
29/11/2024,12,Cà Mau,83300,85800
30/11/2024,,,
30/11/2024,1,Hồ Chí Minh,83300,85800
30/11/2024,2,Miền Bắc,83300,85800
30/11/2024,3,Hạ Long,83300,85800
30/11/2024,4,Hải Phòng,83300,85800
30/11/2024,5,Miền Trung,83300,85800
30/11/2024,6,Huế,83300,85800
30/11/2024,7,Quảng Ngãi,83300,85800
30/11/2024,8,Nha Trang,83300,85800
30/11/2024,9,Biên Hòa,83300,85800
30/11/2024,10,Miền Tây,83300,85800
30/11/2024,11,Bạc Liêu,83300,85800
30/11/2024,12,Cà Mau,83300,85800
01/12/2024,,,
01/12/2024,1,Hồ Chí Minh,83300,85800
01/12/2024,2,Miền Bắc,83300,85800
01/12/2024,3,Hạ Long,83300,85800
01/12/2024,4,Hải Phòng,83300,85800
01/12/2024,5,Miền Trung,83300,85800
01/12/2024,6,Huế,83300,85800
01/12/2024,7,Quảng Ngãi,83300,85800
01/12/2024,8,Nha Trang,83300,85800
01/12/2024,9,Biên Hòa,83300,85800
01/12/2024,10,Miền Tây,83300,85800
01/12/2024,11,Bạc Liêu,83300,85800
01/12/2024,12,Cà Mau,83300,85800
02/12/2024,,,
02/12/2024,1,Hồ Chí Minh,82800,85300
02/12/2024,2,Miền Bắc,82800,85300
02/12/2024,3,Hạ Long,82800,85300
02/12/2024,4,Hải Phòng,82800,85300
02/12/2024,5,Miền Trung,82800,85300
02/12/2024,6,Huế,82800,85300
02/12/2024,7,Quảng Ngãi,82800,85300
02/12/2024,8,Nha Trang,82800,85300
02/12/2024,9,Biên Hòa,82800,85300
02/12/2024,10,Miền Tây,82800,85300
02/12/2024,11,Bạc Liêu,82800,85300
02/12/2024,12,Cà Mau,82800,85300
03/12/2024,,,
03/12/2024,1,Hồ Chí Minh,83000,85500
03/12/2024,2,Miền Bắc,83000,85500
03/12/2024,3,Hạ Long,83000,85500
03/12/2024,4,Hải Phòng,83000,85500
03/12/2024,5,Miền Trung,83000,85500
03/12/2024,6,Huế,83000,85500
03/12/2024,7,Quảng Ngãi,83000,85500
03/12/2024,8,Nha Trang,83000,85500
03/12/2024,9,Biên Hòa,83000,85500
03/12/2024,10,Miền Tây,83000,85500
03/12/2024,11,Bạc Liêu,83000,85500
03/12/2024,12,Cà Mau,83000,85500
04/12/2024,,,
04/12/2024,1,Hồ Chí Minh,83000,85500
04/12/2024,2,Miền Bắc,83000,85500
04/12/2024,3,Hạ Long,83000,85500
04/12/2024,4,Hải Phòng,83000,85500
04/12/2024,5,Miền Trung,83000,85500
04/12/2024,6,Huế,83000,85500
04/12/2024,7,Quảng Ngãi,83000,85500
04/12/2024,8,Nha Trang,83000,85500
04/12/2024,9,Biên Hòa,83000,85500
04/12/2024,10,Miền Tây,83000,85500
04/12/2024,11,Bạc Liêu,83000,85500
04/12/2024,12,Cà Mau,83000,85500
05/12/2024,,,
05/12/2024,1,Hồ Chí Minh,119500,121500
05/12/2024,2,Miền Bắc,119500,121500
05/12/2024,3,Hạ Long,119500,121500
05/12/2024,4,Hải Phòng,119500,121500
05/12/2024,5,Miền Trung,119500,121500
05/12/2024,6,Huế,119500,121500
05/12/2024,7,Quảng Ngãi,119500,121500
05/12/2024,8,Nha Trang,119500,121500
05/12/2024,9,Biên Hòa,119500,121500
05/12/2024,10,Miền Tây,119500,121500
05/12/2024,11,Bạc Liêu,119500,121500
05/12/2024,12,Cà Mau,119500,121500
06/12/2024,,,
06/12/2024,1,Hồ Chí Minh,82700,85200
06/12/2024,2,Miền Bắc,82700,85200
06/12/2024,3,Hạ Long,82700,85200
06/12/2024,4,Hải Phòng,82700,85200
06/12/2024,5,Miền Trung,82700,85200
06/12/2024,6,Huế,82700,85200
06/12/2024,7,Quảng Ngãi,82700,85200
06/12/2024,8,Nha Trang,82700,85200
06/12/2024,9,Biên Hòa,82700,85200
06/12/2024,10,Miền Tây,82700,85200
06/12/2024,11,Bạc Liêu,82700,85200
06/12/2024,12,Cà Mau,82700,85200
07/12/2024,,,
07/12/2024,1,Hồ Chí Minh,82700,85200
07/12/2024,2,Miền Bắc,82700,85200
07/12/2024,3,Hạ Long,82700,85200
07/12/2024,4,Hải Phòng,82700,85200
07/12/2024,5,Miền Trung,82700,85200
07/12/2024,6,Huế,82700,85200
07/12/2024,7,Quảng Ngãi,82700,85200
07/12/2024,8,Nha Trang,82700,85200
07/12/2024,9,Biên Hòa,82700,85200
07/12/2024,10,Miền Tây,82700,85200
07/12/2024,11,Bạc Liêu,82700,85200
07/12/2024,12,Cà Mau,82700,85200
08/12/2024,,,
08/12/2024,1,Hồ Chí Minh,82700,85200
08/12/2024,2,Miền Bắc,82700,85200
08/12/2024,3,Hạ Long,82700,85200
08/12/2024,4,Hải Phòng,82700,85200
08/12/2024,5,Miền Trung,82700,85200
08/12/2024,6,Huế,82700,85200
08/12/2024,7,Quảng Ngãi,82700,85200
08/12/2024,8,Nha Trang,82700,85200
08/12/2024,9,Biên Hòa,82700,85200
08/12/2024,10,Miền Tây,82700,85200
08/12/2024,11,Bạc Liêu,82700,85200
08/12/2024,12,Cà Mau,82700,85200
09/12/2024,,,
09/12/2024,1,Hồ Chí Minh,82700,85200
09/12/2024,2,Miền Bắc,82700,85200
09/12/2024,3,Hạ Long,82700,85200
09/12/2024,4,Hải Phòng,82700,85200
09/12/2024,5,Miền Trung,82700,85200
09/12/2024,6,Huế,82700,85200
09/12/2024,7,Quảng Ngãi,82700,85200
09/12/2024,8,Nha Trang,82700,85200
09/12/2024,9,Biên Hòa,82700,85200
09/12/2024,10,Miền Tây,82700,85200
09/12/2024,11,Bạc Liêu,82700,85200
09/12/2024,12,Cà Mau,82700,85200
10/12/2024,,,
10/12/2024,1,Hồ Chí Minh,83600,85600
10/12/2024,2,Miền Bắc,83600,85600
10/12/2024,3,Hạ Long,83600,85600
10/12/2024,4,Hải Phòng,83600,85600
10/12/2024,5,Miền Trung,83600,85600
10/12/2024,6,Huế,83600,85600
10/12/2024,7,Quảng Ngãi,83600,85600
10/12/2024,8,Nha Trang,83600,85600
10/12/2024,9,Biên Hòa,83600,85600
10/12/2024,10,Miền Tây,83600,85600
10/12/2024,11,Bạc Liêu,83600,85600
10/12/2024,12,Cà Mau,83600,85600
11/12/2024,,,
11/12/2024,1,Hồ Chí Minh,84400,86900
11/12/2024,2,Miền Bắc,84400,86900
11/12/2024,3,Hạ Long,84400,86900
11/12/2024,4,Hải Phòng,84400,86900
11/12/2024,5,Miền Trung,84400,86900
11/12/2024,6,Huế,84400,86900
11/12/2024,7,Quảng Ngãi,84400,86900
11/12/2024,8,Nha Trang,84400,86900
11/12/2024,9,Biên Hòa,84400,86900
11/12/2024,10,Miền Tây,84400,86900
11/12/2024,11,Bạc Liêu,84400,86900
11/12/2024,12,Cà Mau,84400,86900
12/12/2024,,,
12/12/2024,1,Hồ Chí Minh,84600,87100
12/12/2024,2,Miền Bắc,84600,87100
12/12/2024,3,Hạ Long,84600,87100
12/12/2024,4,Hải Phòng,84600,87100
12/12/2024,5,Miền Trung,84600,87100
12/12/2024,6,Huế,84600,87100
12/12/2024,7,Quảng Ngãi,84600,87100
12/12/2024,8,Nha Trang,84600,87100
12/12/2024,9,Biên Hòa,84600,87100
12/12/2024,10,Miền Tây,84600,87100
12/12/2024,11,Bạc Liêu,84600,87100
12/12/2024,12,Cà Mau,84600,87100
13/12/2024,,,
13/12/2024,1,Hồ Chí Minh,83800,86300
13/12/2024,2,Miền Bắc,83800,86300
13/12/2024,3,Hạ Long,83800,86300
13/12/2024,4,Hải Phòng,83800,86300
13/12/2024,5,Miền Trung,83800,86300
13/12/2024,6,Huế,83800,86300
13/12/2024,7,Quảng Ngãi,83800,86300
13/12/2024,8,Nha Trang,83800,86300
13/12/2024,9,Biên Hòa,83800,86300
13/12/2024,10,Miền Tây,83800,86300
13/12/2024,11,Bạc Liêu,83800,86300
13/12/2024,12,Cà Mau,83800,86300
14/12/2024,,,
14/12/2024,1,Hồ Chí Minh,83800,86300
14/12/2024,2,Miền Bắc,83800,86300
14/12/2024,3,Hạ Long,83800,86300
14/12/2024,4,Hải Phòng,83800,86300
14/12/2024,5,Miền Trung,83800,86300
14/12/2024,6,Huế,83800,86300
14/12/2024,7,Quảng Ngãi,83800,86300
14/12/2024,8,Nha Trang,83800,86300
14/12/2024,9,Biên Hòa,83800,86300
14/12/2024,10,Miền Tây,83800,86300
14/12/2024,11,Bạc Liêu,83800,86300
14/12/2024,12,Cà Mau,83800,86300
15/12/2024,,,
15/12/2024,1,Hồ Chí Minh,83800,86300
15/12/2024,2,Miền Bắc,83800,86300
15/12/2024,3,Hạ Long,83800,86300
15/12/2024,4,Hải Phòng,83800,86300
15/12/2024,5,Miền Trung,83800,86300
15/12/2024,6,Huế,83800,86300
15/12/2024,7,Quảng Ngãi,83800,86300
15/12/2024,8,Nha Trang,83800,86300
15/12/2024,9,Biên Hòa,83800,86300
15/12/2024,10,Miền Tây,83800,86300
15/12/2024,11,Bạc Liêu,83800,86300
15/12/2024,12,Cà Mau,83800,86300
16/12/2024,,,
16/12/2024,1,Hồ Chí Minh,82600,85100
16/12/2024,2,Miền Bắc,82600,85100
16/12/2024,3,Hạ Long,82600,85100
16/12/2024,4,Hải Phòng,82600,85100
16/12/2024,5,Miền Trung,82600,85100
16/12/2024,6,Huế,82600,85100
16/12/2024,7,Quảng Ngãi,82600,85100
16/12/2024,8,Nha Trang,82600,85100
16/12/2024,9,Biên Hòa,82600,85100
16/12/2024,10,Miền Tây,82600,85100
16/12/2024,11,Bạc Liêu,82600,85100
16/12/2024,12,Cà Mau,82600,85100
17/12/2024,,,
17/12/2024,1,Hồ Chí Minh,119500,121500
17/12/2024,2,Miền Bắc,119500,121500
17/12/2024,3,Hạ Long,119500,121500
17/12/2024,4,Hải Phòng,119500,121500
17/12/2024,5,Miền Trung,119500,121500
17/12/2024,6,Huế,119500,121500
17/12/2024,7,Quảng Ngãi,119500,121500
17/12/2024,8,Nha Trang,119500,121500
17/12/2024,9,Biên Hòa,119500,121500
17/12/2024,10,Miền Tây,119500,121500
17/12/2024,11,Bạc Liêu,119500,121500
17/12/2024,12,Cà Mau,119500,121500
18/12/2024,,,
18/12/2024,1,Hồ Chí Minh,83100,85100
18/12/2024,2,Miền Bắc,83100,85100
18/12/2024,3,Hạ Long,83100,85100
18/12/2024,4,Hải Phòng,83100,85100
18/12/2024,5,Miền Trung,83100,85100
18/12/2024,6,Huế,83100,85100
18/12/2024,7,Quảng Ngãi,83100,85100
18/12/2024,8,Nha Trang,83100,85100
18/12/2024,9,Biên Hòa,83100,85100
18/12/2024,10,Miền Tây,83100,85100
18/12/2024,11,Bạc Liêu,83100,85100
18/12/2024,12,Cà Mau,83100,85100
19/12/2024,,,
19/12/2024,1,Hồ Chí Minh,82100,84100
19/12/2024,2,Miền Bắc,82100,84100
19/12/2024,3,Hạ Long,82100,84100
19/12/2024,4,Hải Phòng,82100,84100
19/12/2024,5,Miền Trung,82100,84100
19/12/2024,6,Huế,82100,84100
19/12/2024,7,Quảng Ngãi,82100,84100
19/12/2024,8,Nha Trang,82100,84100
19/12/2024,9,Biên Hòa,82100,84100
19/12/2024,10,Miền Tây,82100,84100
19/12/2024,11,Bạc Liêu,82100,84100
19/12/2024,12,Cà Mau,82100,84100
20/12/2024,,,
20/12/2024,1,Hồ Chí Minh,81800,83800
20/12/2024,2,Miền Bắc,81800,83800
20/12/2024,3,Hạ Long,81800,83800
20/12/2024,4,Hải Phòng,81800,83800
20/12/2024,5,Miền Trung,81800,83800
20/12/2024,6,Huế,81800,83800
20/12/2024,7,Quảng Ngãi,81800,83800
20/12/2024,8,Nha Trang,81800,83800
20/12/2024,9,Biên Hòa,81800,83800
20/12/2024,10,Miền Tây,81800,83800
20/12/2024,11,Bạc Liêu,81800,83800
20/12/2024,12,Cà Mau,81800,83800
21/12/2024,,,
21/12/2024,1,Hồ Chí Minh,81800,83800
21/12/2024,2,Miền Bắc,81800,83800
21/12/2024,3,Hạ Long,81800,83800
21/12/2024,4,Hải Phòng,81800,83800
21/12/2024,5,Miền Trung,81800,83800
21/12/2024,6,Huế,81800,83800
21/12/2024,7,Quảng Ngãi,81800,83800
21/12/2024,8,Nha Trang,81800,83800
21/12/2024,9,Biên Hòa,81800,83800
21/12/2024,10,Miền Tây,81800,83800
21/12/2024,11,Bạc Liêu,81800,83800
21/12/2024,12,Cà Mau,81800,83800
22/12/2024,,,
22/12/2024,1,Hồ Chí Minh,81800,83800
22/12/2024,2,Miền Bắc,81800,83800
22/12/2024,3,Hạ Long,81800,83800
22/12/2024,4,Hải Phòng,81800,83800
22/12/2024,5,Miền Trung,81800,83800
22/12/2024,6,Huế,81800,83800
22/12/2024,7,Quảng Ngãi,81800,83800
22/12/2024,8,Nha Trang,81800,83800
22/12/2024,9,Biên Hòa,81800,83800
22/12/2024,10,Miền Tây,81800,83800
22/12/2024,11,Bạc Liêu,81800,83800
22/12/2024,12,Cà Mau,81800,83800
23/12/2024,,,
23/12/2024,1,Hồ Chí Minh,82500,84500
23/12/2024,2,Miền Bắc,82500,84500
23/12/2024,3,Hạ Long,82500,84500
23/12/2024,4,Hải Phòng,82500,84500
23/12/2024,5,Miền Trung,82500,84500
23/12/2024,6,Huế,82500,84500
23/12/2024,7,Quảng Ngãi,82500,84500
23/12/2024,8,Nha Trang,82500,84500
23/12/2024,9,Biên Hòa,82500,84500
23/12/2024,10,Miền Tây,82500,84500
23/12/2024,11,Bạc Liêu,82500,84500
23/12/2024,12,Cà Mau,82500,84500
24/12/2024,,,
24/12/2024,1,Hồ Chí Minh,82300,84300
24/12/2024,2,Miền Bắc,82300,84300
24/12/2024,3,Hạ Long,82300,84300
24/12/2024,4,Hải Phòng,82300,84300
24/12/2024,5,Miền Trung,82300,84300
24/12/2024,6,Huế,82300,84300
24/12/2024,7,Quảng Ngãi,82300,84300
24/12/2024,8,Nha Trang,82300,84300
24/12/2024,9,Biên Hòa,82300,84300
24/12/2024,10,Miền Tây,82300,84300
24/12/2024,11,Bạc Liêu,82300,84300
24/12/2024,12,Cà Mau,82300,84300
25/12/2024,,,
25/12/2024,1,Hồ Chí Minh,82300,84300
25/12/2024,2,Miền Bắc,82300,84300
25/12/2024,3,Hạ Long,82300,84300
25/12/2024,4,Hải Phòng,82300,84300
25/12/2024,5,Miền Trung,82300,84300
25/12/2024,6,Huế,82300,84300
25/12/2024,7,Quảng Ngãi,82300,84300
